Payment Id,Check Id,Check #,Table,Payment Type,Server,Cashier,Tip,Amount,Cash Drawer,Date,Opened Date
800000031219914232,800000031219756307,83,,CREDIT,Martina,Martina,1.00,10.48,,10/26/25 10:38 AM,10/26/25 10:34 AM
800000031219968448,800000031219833789,90,,CASH,Martina,Martina,0.00,10.28,Drive Thru Cash Drawer,10/26/25 10:39 AM,10/26/25 10:36 AM
800000031220049024,800000031219907839,89,,CREDIT,Martina,Martina,0.00,26.84,,10/26/25 10:41 AM,10/26/25 10:38 AM
800000031220109806,800000031219967323,93,,CREDIT,Martina,Martina,0.00,21.53,,10/26/25 10:42 AM,10/26/25 10:39 AM
800000031220204986,800000031220198517,98,,CASH,AM,AM,0.00,14.47,Front Box Cash Drawer,10/26/25 10:45 AM,10/26/25 10:44 AM
800000031220254111,800000031220040736,94,,CREDIT,Martina,Martina,0.00,15.09,,10/26/25 10:46 AM,10/26/25 10:41 AM
800000031220269778,800000031220268405,101,,CASH,AM,AM,0.00,13.84,Front Box Cash Drawer,10/26/25 10:46 AM,10/26/25 10:46 AM
800000031220312997,800000031220133560,95,,CASH,Martina,Martina,0.00,19.87,Drive Thru Cash Drawer,10/26/25 10:47 AM,10/26/25 10:43 AM
800000031220351647,800000031220347639,102,,CASH,AM,AM,0.00,30.54,Front Box Cash Drawer,10/26/25 10:48 AM,10/26/25 10:48 AM
800000031220403321,800000031218880580,76,4,CREDIT,samantha,AM,0.00,15.22,,10/26/25 10:49 AM,10/26/25 10:13 AM
800000031220426958,800000031220207668,99,,CASH,Martina,Martina,0.00,16.71,Drive Thru Cash Drawer,10/26/25 10:50 AM,10/26/25 10:45 AM
800000031220447750,800000031219394380,85,5,CREDIT,Sami,AM,3.00,31.84,,10/26/25 10:50 AM,10/26/25 10:26 AM
800000031220462000,800000031220342328,103,,CREDIT,Martina,Martina,0.00,15.41,,10/26/25 10:50 AM,10/26/25 10:48 AM
800000031220488855,800000031218965798,78,17,CREDIT,Sami,AM,10.00,37.11,,10/26/25 10:51 AM,10/26/25 10:15 AM
800000031220536882,800000031220441383,104,,CASH,Martina,Martina,0.00,4.31,Drive Thru Cash Drawer,10/26/25 10:52 AM,10/26/25 10:50 AM
800000031220560755,800000031219034820,79,8,CREDIT,samantha,AM,0.00,27.55,,10/26/25 10:52 AM,10/26/25 10:16 AM
800000031220613100,800000031220469523,105,,CREDIT,Martina,Martina,0.00,8.04,,10/26/25 10:54 AM,10/26/25 10:50 AM
800000031220641672,800000031220556745,108,,CREDIT,Martina,Martina,1.00,7.23,,10/26/25 10:54 AM,10/26/25 10:52 AM
800000031220743007,800000031220602012,109,,CREDIT,Martina,Martina,0.00,12.94,,10/26/25 10:57 AM,10/26/25 10:53 AM
800000031220743614,800000031220743873,111,,CASH,AM,AM,0.00,2.44,Front Box Cash Drawer,10/26/25 10:57 AM,10/26/25 10:57 AM
