Payment Id,Check Id,Check #,Table,Payment Type,Server,Cashier,Tip,Amount,Cash Drawer,Date,Opened Date
800000031260320687,800000031260194970,187,,CREDIT,Candy ,Candy ,3.00,33.46,,10/27/25 11:43 AM,10/27/25 11:40 AM
800000031260394688,800000031260221056,188,,CREDIT,Candy ,Candy ,0.00,8.03,,10/27/25 11:46 AM,10/27/25 11:40 AM
800000031260391996,800000031259675020,177,23,CREDIT,Rosa,Rosa,5.00,27.58,,10/27/25 11:46 AM,10/27/25 11:24 AM
800000031260446911,800000031260386418,189,,CREDIT,Candy ,Candy ,0.00,12.43,,10/27/25 11:47 AM,10/27/25 11:45 AM
800000031260504615,800000031260408343,190,,CASH,Candy ,Candy ,0.00,4.86,Drive Box,10/27/25 11:49 AM,10/27/25 11:46 AM
800000031260567333,800000031259519567,169,39,CREDIT,Maria,Maria,5.00,36.38,,10/27/25 11:51 AM,10/27/25 11:19 AM
800000031260573066,800000031260502000,193,,CREDIT,Candy ,Candy ,0.00,22.56,,10/27/25 11:51 AM,10/27/25 11:49 AM
800000031260594430,800000031259698121,178,22,CREDIT,Maria,Maria,5.00,24.53,,10/27/25 11:52 AM,10/27/25 11:25 AM
800000031260627645,800000031260412833,191,,CREDIT,Ivana,Ivana,2.00,7.99,,10/27/25 11:53 AM,10/27/25 11:46 AM
800000031260710184,800000031259834698,180,25,CREDIT,Silvia,Ivana,2.15,11.85,,10/27/25 11:55 AM,10/27/25 11:29 AM
800000031260748895,800000031260630660,199,,CREDIT,Candy ,Candy ,0.00,6.53,,10/27/25 11:56 AM,10/27/25 11:53 AM
800000031260875485,800000031260731759,201,,CASH,Candy ,Candy ,0.00,5.17,Drive Box,10/27/25 12:00 PM,10/27/25 11:56 AM
800000031260983160,800000031260820212,203,,CREDIT,Candy ,Candy ,0.00,15.12,,10/27/25 12:03 PM,10/27/25 11:58 AM
800000031261002018,800000031259080512,161,25,CASH,Maria,Maria,0.00,14.05,,10/27/25 12:04 PM,10/27/25 11:06 AM
800000031261031035,800000031259964457,182,24,CASH,Rosa,Rosa,0.00,12.97,,10/27/25 12:05 PM,10/27/25 11:33 AM
800000031261076839,800000031260836900,205,,CREDIT,Candy ,Candy ,0.00,25.94,,10/27/25 12:06 PM,10/27/25 11:59 AM
800000031261081687,800000031259611244,174,9,CREDIT,Silvia,Ivana,0.00,34.01,,10/27/25 12:06 PM,10/27/25 11:22 AM
800000031261159500,800000031260891035,206,,CREDIT,Candy ,Candy ,0.00,9.92,,10/27/25 12:08 PM,10/27/25 12:00 PM
800000031261232166,800000031261002016,208,,CREDIT,Candy ,Candy ,0.00,16.18,,10/27/25 12:10 PM,10/27/25 12:04 PM
800000031261347115,800000031260566426,198,,CREDIT,Candy ,Candy ,0.00,25.79,,10/27/25 12:14 PM,10/27/25 11:51 AM
800000031261352920,800000031259441136,168,10,CASH,Rosa,Rosa,0.00,25.23,,10/27/25 12:14 PM,10/27/25 11:17 AM
800000031261455087,800000031261323426,211,,CREDIT,Ivana,Ivana,0.00,7.75,,10/27/25 12:17 PM,10/27/25 12:13 PM
800000031261569007,800000031261443299,216,,CREDIT,Candy ,Candy ,0.00,19.72,,10/27/25 12:20 PM,10/27/25 12:16 PM
800000031261664131,800000031260530141,196,32,CREDIT,Rosa,Rosa,6.00,34.50,,10/27/25 12:23 PM,10/27/25 11:50 AM
800000031261698997,800000031260500397,195,35,CASH,Rosa,Rosa,0.00,31.33,,10/27/25 12:24 PM,10/27/25 11:49 AM
800000031261726859,800000031261563321,218,,CREDIT,Candy ,Candy ,2.00,13.46,,10/27/25 12:25 PM,10/27/25 12:20 PM
800000031261740871,800000031260561884,197,37,CREDIT,Silvia,Silvia,0.00,68.95,,10/27/25 12:25 PM,10/27/25 11:51 AM
800000031261792138,800000031260907801,207,3,CREDIT,Rosa,Rosa,3.00,18.61,,10/27/25 12:27 PM,10/27/25 12:01 PM
800000031261808951,800000031261716119,221,,CREDIT,Candy ,Candy ,1.00,7.55,,10/27/25 12:27 PM,10/27/25 12:24 PM
800000031261390841,800000031260437880,192,19,CREDIT,Silvia,,6.53,35.34,,10/27/25 12:27 PM,10/27/25 11:47 AM
800000031261828104,800000031261826522,223,,CASH,Ivana,Ivana,0.00,5.81,Front Left,10/27/25 12:28 PM,10/27/25 12:28 PM
800000031261942659,800000031260673372,200,7,CREDIT,Silvia,Silvia,0.00,8.39,,10/27/25 12:31 PM,10/27/25 11:54 AM
800000031261962329,800000031261959241,226,,CREDIT,Ivana,Ivana,0.00,5.81,,10/27/25 12:32 PM,10/27/25 12:32 PM
